text,target
"Massive earthquake just hit the city, buildings shaking!",1
"Flood water entering houses, people stuck everywhere",1
Huge fire broke out in the warehouse last night,1
"Train derailed near station, many injured",1
"Cyclone approaching coast, evacuation started",1
Forest fire spreading rapidly due to heatwave,1
Gas leak reported in industrial area,1
Bridge collapsed during heavy traffic,1
Landslide blocked the highway completely,1
"Explosion heard near market, panic everywhere",1
Severe thunderstorm causing power outages,1
"Building caught fire, firefighters on scene",1
Heavy rainfall causing flash floods,1
Earthquake aftershocks still being felt,1
Plane crash reported near airport,1
Tsunami warning issued after earthquake,1
Wildfire forcing residents to evacuate,1
Dam overflow causing flooding downstream,1
Chemical spill reported on highway,1
Multiple vehicles crashed due to fog,1
Rescue teams searching for survivors after collapse,1
Storm destroyed several homes overnight,1
People trapped under debris after building collapse,1
Flood rescue operations ongoing,1
"Major accident on highway, traffic halted",1
Firefighters struggling to control blaze,1
Explosion in factory injures workers,1
Heatwave causing health emergencies,1
River overflowing due to heavy rain,1
Earthquake magnitude 6.5 reported,1
Power plant explosion causes blackout,1
Oil spill affecting coastal area,1
Emergency declared due to flooding,1
Train collision leaves several injured,1
Wild storm uprooted trees everywhere,1
Fire engulfed entire building quickly,1
People evacuating due to gas leak,1
Flood waters rising rapidly,1
Lightning strike caused house fire,1
Rescue helicopters deployed after landslide,1
Volcanic eruption sending ash into sky,1
Bridge damaged after earthquake,1
Storm surge flooding coastal roads,1
Bus accident leaves many injured,1
Severe drought affecting crops,1
Emergency sirens after explosion,1
Fire spreads across forest area,1
Building collapse traps workers,1
Flood destroys homes and roads,1
Major fire accident reported downtown,1
This party is fire amazing night,0
My phone battery died what a disaster,0
I am drowning in assignments lol,0
This exam was a train wreck,0
Traffic today is killing me,0
I am melting in this heat,0
My favorite show got cancelled so sad,0
Spilled coffee on my shirt great start,0
Workout destroyed me today,0
My internet is so slow help,0
This burger is insane delicious,0
I can't survive without coffee,0
Deadline is killing me right now,0
My room looks like a disaster zone,0
I bombed that test so badly,0
That movie blew my mind,0
My code crashed again ugh,0
I feel dead after gym,0
This game is fire,0
My sleep schedule is ruined,0
Office workload is insane today,0
I am buried in work,0
This heat is unbearable,0
My laptop died suddenly,0
I am exhausted beyond words,0
Got stuck in traffic for hours,0
My brain is fried after studying,0
This assignment is a nightmare,0
I nearly died laughing,0
My phone exploded with notifications,0
I am starving right now,0
This queue is endless,0
My team collapsed in the match,0
That joke killed me,0
I feel like I am crashing today,0
This weather is depressing,0
I failed miserably at cooking,0
My plans got destroyed,0
This day is chaos,0
I am completely burned out,0
Smoke everywhere not sure what's happening,1
Hearing loud noises near factory,1
Sirens going off all night,1
Power outage after heavy storm,1
People running suddenly in mall,1
Road blocked due to accident,1
Dark clouds look dangerous today,1
Emergency vehicles rushing past,1
Loud bang heard nearby,1
Something exploded but unclear what,1
Fire trucks heading downtown,1
Police blocking off street area,1
Helicopters circling over city,1
Heavy rain flooding streets slightly,1
Strong winds damaging trees,1
People evacuating building quickly,1
Bridge closed after damage,1
Strange smell possibly gas leak,1
Fire alarm triggered in building,1
Rescue teams seen in area,1
